Data;Nivel_m;Precipitacao_mm
2024-12-28;1,7840625;0,0
2024-12-29;1,8065625;0,0
2024-12-30;1,7302083333333333;0,0
2024-12-31;1,5916666666666668;20,2
2025-01-01;1,5053124999999998;8,600000000000001
2025-01-02;1,4718749999999998;10,4
2025-01-03;1,7002083333333333;0,0
2025-01-04;1,7657291666666666;0,0
2025-01-05;1,8388541666666667;0,0
2025-01-06;1,8184375;0,0
2025-01-07;1,755909090909091;0,0
2025-01-08;1,7070833333333333;0,0
2025-01-09;1,6148958333333334;0,0
2025-01-10;1,5534375;0,0
2025-01-11;1,6161458333333334;0,0
2025-01-12;1,5960416666666666;0,0
2025-01-13;1,5232291666666666;0,0
2025-01-14;1,4439583333333335;0,0
2025-01-15;1,325625;0,0
2025-01-16;1,2755208333333334;13,0
2025-01-17;1,2169791666666667;2,0
2025-01-18;1,3502083333333335;0,2
2025-01-19;1,3764583333333336;0,0
2025-01-20;1,3839583333333332;0,8
2025-01-21;1,4533333333333334;0,0
2025-01-22;1,471875;0,0
2025-01-23;1,4510416666666668;0,0
2025-01-24;1,3618750000000002;0,0
2025-01-25;1,372717391304348;25,0
2025-01-26;1,59;0,4
2025-01-27;1,4015625;4,0
2025-01-28;1,3019791666666667;14,0
2025-01-29;1,3728125;7,8
2025-01-30;1,4663541666666668;0,4
2025-01-31;1,4328124999999998;0,0
2025-02-01;1,4521875;0,0
2025-02-02;1,4353125;0,0
2025-02-03;1,3898958333333333;0,0
2025-02-04;1,3338541666666668;0,0
2025-02-05;1,3872916666666668;0,0
2025-02-06;1,3521875;1,6
2025-02-07;1,5610869565217391;0,0
2025-02-08;1,4154166666666665;0,0
2025-02-09;1,3905208333333334;0,0
2025-02-10;1,3777083333333333;0,0
2025-02-11;1,30875;0,0
2025-02-12;1,4525;17,2
2025-02-13;1,5191666666666668;17,6
2025-02-14;1,5185416666666667;0,0
2025-02-15;1,3988541666666665;39,0
2025-02-16;1,3709375000000001;11,799999999999999
2025-02-17;1,4452083333333334;35,4
2025-02-18;1,6404166666666666;0,0
2025-02-19;1,5972916666666668;0,0
2025-02-20;1,562717391304348;0,0
2025-02-21;1,5114130434782609;0,0
2025-02-22;1,4688541666666666;0,0
2025-02-23;1,3831521739130435;0,0
2025-02-24;1,3434375;0,0
2025-02-25;1,3010416666666667;12,6
2025-02-26;1,3988541666666665;0,2
2025-02-27;1,4763541666666666;2,2
2025-02-28;1,4067708333333335;0,0
2025-03-01;1,3652083333333334;0,0
2025-03-02;1,4814583333333333;0,0
2025-03-03;1,4667708333333334;0,0
2025-03-04;1,3788541666666667;0,0
2025-03-05;1,3177083333333333;0,0
2025-03-06;1,2245833333333334;0,0
2025-03-07;1,1772916666666666;0,0
2025-03-08;1,1409375;0,0
2025-03-09;1,6216666666666668;34,4
2025-03-10;1,5054166666666668;0,8
2025-03-11;1,4013541666666667;0,0
2025-03-12;1,439375;0,0
2025-03-13;1,5353124999999999;9,6
2025-03-14;1,6426041666666666;0,0
2025-03-15;1,6908333333333332;0,0
2025-03-16;1,6260416666666666;0,0
2025-03-17;1,5692708333333334;0,0
2025-03-18;1,6455208333333333;0,0
2025-03-19;1,59875;0,0
2025-03-20;1,5603125;0,0
2025-03-21;1,5027083333333333;0,0
2025-03-22;1,4021875000000001;0,0
2025-03-23;1,448125;0,0
2025-03-24;1,5736458333333332;0,0
2025-03-25;1,6371874999999998;0,0
2025-03-26;1,6111458333333333;0,0
2025-03-27;1,4664583333333334;0,0
2025-03-28;1,4292708333333335;0,6000000000000001
2025-03-29;1,593125;0,0
2025-03-30;1,5686458333333333;0,0
2025-03-31;1,4808333333333332;17,0
2025-04-01;1,7164583333333334;0,7999999999999999
2025-04-02;1,4922916666666666;0,8
2025-04-03;1,6232291666666667;5,4
2025-04-04;1,9095833333333332;2,0
2025-04-05;1,7597916666666666;0,0
2025-04-06;1,6671875;0,0
2025-04-07;1,573125;5,3999999999999995
2025-04-08;1,3257291666666666;33,8
2025-04-09;1,4559375;0,0
2025-04-10;1,4154166666666665;0,0
2025-04-11;1,4574999999999998;0,0
2025-04-12;1,341875;0,0
2025-04-13;1,4418749999999998;0,0
2025-04-14;1,5510416666666667;0,0
2025-04-15;1,5285416666666667;0,0
2025-04-16;1,5678124999999998;0,0
2025-04-17;1,5559375;0,0
2025-04-18;1,5138541666666667;0,0
2025-04-19;1,6468749999999999;0,0
2025-04-20;1,6515625;0,0
2025-04-21;1,6652083333333332;0,0
2025-04-22;1,5878125;0,0
2025-04-23;1,5116666666666667;0,0
2025-04-24;1,5437500000000002;0,0
2025-04-25;1,531875;0,0
2025-04-26;1,4508333333333334;0,0
2025-04-27;1,5803125;0,0
2025-04-28;1,6242708333333333;0,0
2025-04-29;1,7215625;2,6
2025-04-30;1,6577083333333331;0,0
2025-05-01;1,6365625000000001;0,0
2025-05-02;1,5197916666666667;0,2
2025-05-03;1,5426041666666668;0,0
2025-05-04;1,5575;0,0
2025-05-05;1,4832926829268291;0,0
2025-05-06;1,6187500000000001;0,0
2025-05-07;1,5183333333333333;0,0
2025-05-08;1,4678125;0,0
2025-05-09;1,52125;39,199999999999996
2025-05-10;1,6583333333333332;0,0
2025-05-11;1,7752083333333335;0,0
2025-05-12;1,7177083333333334;0,0
2025-05-13;1,5959375;0,0
2025-05-14;1,5592708333333334;27,200000000000003
2025-05-15;1,5636458333333334;0,0
2025-05-16;1,5327083333333336;1,2
2025-05-17;1,5095833333333333;0,0
2025-05-18;1,4767708333333334;1,6
2025-05-19;1,6801041666666665;4,0
2025-05-20;1,7167708333333334;5,8
2025-05-21;1,7953124999999999;0,0
2025-05-22;1,8442708333333335;0,0
2025-05-23;1,8065625;0,0
2025-05-24;1,6288541666666667;3,2
2025-05-25;1,5908333333333333;0,0
2025-05-26;1,5725;1,2000000000000002
2025-05-27;1,5134375;8,8
2025-05-28;1,6542708333333334;44,4
2025-05-29;2,1996875;60,2
2025-05-30;2,0607291666666665;0,4
2025-05-31;1,9948958333333333;0,0
2025-06-01;2,003229166666667;0,0
2025-06-02;1,9662499999999998;0,0
2025-06-03;1,9344791666666667;3,2
2025-06-04;1,9019791666666668;0,4
2025-06-05;1,96875;1,0
2025-06-06;2,04625;0,0
2025-06-07;1,9749999999999999;0,0
2025-06-08;2,0090625;0,0
2025-06-09;2,0530208333333335;0,0
2025-06-10;2,0170833333333333;0,0
2025-06-11;1,9886458333333332;0,0
2025-06-12;1,8615625;0,2
2025-06-13;1,7492708333333333;0,0
2025-06-14;1,6338541666666666;0,4
2025-06-15;1,6514583333333333;19,0
2025-06-16;1,7009375;0,0
2025-06-17;1,6917582417582417;35,4
2025-06-18;2,0205208333333333;109,2
2025-06-19;2,4938541666666665;21,2
2025-06-20;2,8210416666666664;20,0
2025-06-21;3,1177083333333333;0,2
2025-06-22;3,1846875000000003;2,0
2025-06-23;3,251666666666667;8,0
2025-06-24;3,28375;0,0
2025-06-25;3,4258333333333333;0,0
2025-06-26;3,3988541666666667;6,0
2025-06-27;3,3025;1,2
2025-06-28;3,156875;20,599999999999998
2025-06-29;3,165625;16,8
2025-06-30;3,3478125;0,6000000000000001
2025-07-01;3,3954166666666663;0,0
2025-07-02;3,3467708333333337;0,0
2025-07-03;3,1803125;0,0
2025-07-04;2,9672916666666667;0,0
2025-07-05;2,825625;0,0
2025-07-06;2,745625;0,0
2025-07-07;2,5910416666666665;0,0
2025-07-08;2,548645833333333;0,0
2025-07-09;2,4748958333333335;0,0
2025-07-10;2,3673958333333336;0,0
2025-07-11;2,3124285714285713;0,0
